representacion,n_pares,cos_misma_prenda_mediana,cos_misma_prenda_p05,cos_misma_prenda_min,cos_prendas_distintas_mediana,cos_prendas_distintas_p95,margen
clip_plano,118,0.9885407984256744,0.9457593381404876,0.8892097473144531,0.8113028109073639,0.9237137615680695,0.06482703685760494
conjunta/conjunta,118,0.9927684664726257,0.9709416180849075,0.9459884166717529,0.820051908493042,0.9199333190917969,0.07283514738082886
por_atributo/forma,118,0.9927399754524231,0.9806220948696136,0.9000942707061768,0.8474032282829285,0.9489875823259354,0.04375239312648771
por_atributo/tejido,118,0.9917052984237671,0.9695096373558044,0.9493740797042847,0.8338115811347961,0.9267042875289917,0.06500101089477539
por_atributo/textura,118,0.9921921193599701,0.9726975858211517,0.9456887245178223,0.8380301594734192,0.9314281940460205,0.060763925313949585
