representacion,auc_media,auc_sd,auc_control_media,auc_control_sd,cos_centroides,emparejado_por_categoria,n_por_clase,repeticiones,auc_sin_emparejar,auc_nulo_muestral,auc_nulo_composicion
clip_plano,1.0,0.0,0.5057554796981675,0.04163942644084293,0.7923073172569275,True,112,20,1.0,0.4729141214516709,0.6379186130075458
conjunta/conjunta,0.9990217391304347,0.0008950619461960168,0.5056521739130435,0.03799380386082728,0.9346475601196289,True,112,20,0.9992783816425123,0.46989849083722596,0.6310842615882142
por_atributo/forma,0.998888789076536,0.0013713569674566348,0.5121110312612289,0.05004814376343856,0.9336562156677246,True,112,20,0.9983959842995169,0.45432806324110675,0.5793738771110312
por_atributo/tejido,0.9989435860582105,0.0009670869492849935,0.5092229608336327,0.03919274161472284,0.926203727722168,True,112,20,0.9989070048309179,0.47984279554437653,0.6058147682357169
por_atributo/textura,0.9994987423643552,0.00066709872526637,0.5086058210564139,0.04001853382437154,0.9498132467269897,True,112,20,0.9994791666666668,0.4850530003593244,0.5716717570966582
