representacion,n_pares,cos_misma_prenda_mediana,cos_misma_prenda_p05,cos_misma_prenda_min,cos_prendas_distintas_mediana,cos_prendas_distintas_p95,margen
clip_plano,118,0.9910156726837158,0.9616151690483093,0.8955303430557251,0.817270815372467,0.9259866446256638,0.065029028058052
conjunta/conjunta,118,0.993865966796875,0.9796294510364533,0.9630470871925354,0.8279407322406769,0.9250590324401856,0.06880693435668939
por_atributo/forma,118,0.9949549436569214,0.9818299174308777,0.9677038192749023,0.8567580580711365,0.9512084722518922,0.043746471405029186
por_atributo/tejido,118,0.9941455125808716,0.9785344123840332,0.9561251401901245,0.8388062715530396,0.9319779872894287,0.06216752529144287
por_atributo/textura,118,0.9939159154891968,0.9778889209032059,0.9726568460464478,0.8458693027496338,0.9363733917474747,0.057542523741722085
