representacion,auc_media,auc_sd,auc_control_media,auc_control_sd,cos_centroides,emparejado_por_categoria,n_por_clase,repeticiones,auc_sin_emparejar,auc_nulo_muestral,auc_nulo_composicion
clip_plano,1.0,0.0,0.5117481135465325,0.04538690054205016,0.7904561758041382,True,112,20,1.0,0.4729141214516709,0.6379186130075458
conjunta/conjunta,0.9994789795185051,0.0007501409309108107,0.5100655767157745,0.0399810602410032,0.9356930255889893,True,112,20,0.9996746678743962,0.46989849083722596,0.6310842615882142
por_atributo/forma,0.9991699604743083,0.0015455505767602512,0.5098715415019764,0.05159129432577052,0.9420384764671326,True,112,20,0.998504679951691,0.45432806324110675,0.5793738771110312
por_atributo/tejido,0.999601149838304,0.0004700356890580571,0.5101401365432985,0.04710533313939859,0.9255558252334595,True,112,20,0.9992625301932367,0.47984279554437653,0.6058147682357169
por_atributo/textura,0.9993819619116063,0.0008537151660746991,0.5138321954725116,0.03766358333902119,0.9511159658432007,True,112,20,0.9988262379227054,0.4850530003593244,0.5716717570966582
