representacion,auc_media,auc_sd,auc_control_media,auc_control_sd,cos_centroides,emparejado_por_categoria,n_por_clase,repeticiones,auc_sin_emparejar,auc_nulo_muestral,auc_nulo_composicion
clip_plano,1.0,0.0,0.5140486884656845,0.045174879672452074,0.791010320186615,True,112,20,1.0,0.4729141214516709,0.6379186130075458
conjunta/conjunta,0.999397233201581,0.0008327780654135361,0.5096002515271291,0.04092664712325586,0.9361016750335693,True,112,20,0.9998007246376812,0.46989849083722596,0.6310842615882142
por_atributo/forma,0.9994664031620554,0.0010251946521219741,0.5145238950772548,0.051089659723965626,0.9421105980873108,True,112,20,0.9985960144927537,0.45432806324110675,0.5793738771110312
por_atributo/tejido,0.9996810995328783,0.000409293876277163,0.5117966223499821,0.04625413273726011,0.9263561367988586,True,112,20,0.9994595410628019,0.47984279554437653,0.6058147682357169
por_atributo/textura,0.9994816744520302,0.001032382334717992,0.5129787998562703,0.042151448056248375,0.9501622915267944,True,112,20,0.9989349335748793,0.4850530003593244,0.5716717570966582
