prenda_id,L_a,a_a,b_a,L_b,a_b,b_b,nombre_a,de_misma
w_0000,29.37148881627074,1.3655500952400637,-4.141566982276329,28.61396308964905,1.5196386618007707,-3.0317323500779887,gris oscuro,1.3949393650436916
w_0001,49.21839428576598,13.618008898767858,4.430733739439633,49.9711983240073,13.433778369442832,4.59491135041567,gris,0.4376797580640606
w_0002,38.17763557848044,52.40339433992401,36.69479433301409,37.93799504468652,52.00982545883084,36.38096349869954,rojo,0.21866759530388172
w_0003,67.39957652114953,1.230080121565013,3.7345459685759166,62.90869800538146,1.5188257665170346,5.522731782530946,gris claro,2.733803898585222
w_0004,34.74938965648413,5.3567174839344744,-14.867506752816888,27.502109005978106,5.0025548055345075,-12.500952529013514,azul marino,4.440129127492653
w_0005,38.721647727515446,2.8752934839190356,5.76245377953599,55.218051044467884,0.9335437198312265,-2.5790668920146436,gris oscuro,15.823590850739892
w_0006,17.82697263866557,1.7096897693102548,0.15990349291716313,18.715999042448136,1.7430908237819331,-0.33224879797509577,negro,1.0480953060468379
w_0007,20.210243152601326,1.9411750776141858,-0.674123366315039,19.41510386494909,2.0660454194314637,-1.104340647876234,negro,0.8817058002406873
w_0008,46.41883886634727,1.8431558838167588,-3.425573823772022,44.96932046957046,1.8375460961634238,-3.2702006169834017,gris,0.7170713100592055
w_0009,65.0556031020695,1.4271258061235494,-4.4420904730110164,67.69413757890429,2.197455392428362,2.993129329870665,gris claro,10.04532217484332
w_0010,21.770817429187804,2.7240859349795774,-4.328429853168209,24.58315018677121,2.6986527355496053,-4.284804043024338,negro,2.182678117655601
w_0011,64.92312314400884,1.7371178976892339,-7.127037439022117,63.87993706320871,1.7445027863874314,1.436445284291651,gris,10.880835695403352
w_0012,62.583829139783234,0.7823432400420456,-5.705957211299361,63.33460570985153,0.7350160423838936,-5.332506708640709,gris,0.49252171475387224
w_0013,39.472598762382844,-2.961239364100429,-1.1959946750457788,38.49584408719314,-2.862873535760329,-3.8513349651439825,gris oscuro,3.347009970598339
w_0014,24.30426895764755,2.0703935133987232,-3.586128381011248,23.47225241218207,1.92958163627705,-4.57644603086732,negro,1.328025740598223
